Driven Brands - MSO,,,,,,,,,,,,,,
Part Status - Concise,,,,,,,,,,,,,,
As of: Today (4/30/2024),,,,,,,,,,,,,,
Locations: CARSTAR CITY AUTO BODY,,,,,,,,,,,,,,
"Filters: Estimator: All, Insurance Company: All, Vendor: All, Part Type: All, Part Status: All, RO Status: All",,,,,,,,,,,,,,
"Sorted By: Repair Order Information (ASC), Line (ASC)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
      RO Number,      Line,      Part Number,      Part Description,      Part Type,      Vendor Name,      RO Qty,      Ordered Qty,      Ordered Date,      Expected Delivery,      Received Qty,      Invoice Date,      Returned Qty,,
1004,0,19388167,wiper,OEM,ANTELOPE VALLEY CHEVROLET - 15678,0,0,,,1,10/6/2023 12:00:00 AM,0,,
1004,0,19388173,wiper,OEM,ANTELOPE VALLEY CHEVROLET - 15678,0,0,,,1,10/6/2023 12:00:00 AM,0,,
1004,0,22806381,pdwh bar return,OEM,ANTELOPE VALLEY CHEVROLET - 15678,0,0,,,1,11/15/2023 12:00:00 AM,1,,
1004,0,84291967,molding return,OEM,ANTELOPE VALLEY CHEVROLET - 15678,0,0,,,1,11/30/2023 12:00:00 AM,1,,
1004,0,85632549,SEAT BELT - MIGUEL,OEM,ANTELOPE VALLEY CHEVROLET - 15678,0,0,,,1,4/23/2024 12:00:00 AM,0,,
1004,0,85661327,402d guide,OEM,ANTELOPE VALLEY CHEVROLET - 15678,0,0,,,1,7/25/2023 12:00:00 AM,1,,
1004,0,92139150,rivet,OEM,ANTELOPE VALLEY CHEVROLET - 15678,0,0,,,1,12/26/2023 12:00:00 AM,1,,
1004,0,fuse,250A HICUfuse,OEM,Autozone - 15678,0,0,,,1,7/11/2023 12:00:00 AM,0,,
1004,0,h7,halogen bulb,OEM,Autozone - 15678,0,0,,,1,4/27/2023 12:00:00 AM,0,,
1004,0,4w,4w,Sublet,BIG BRAND - 15678,0,0,,,1,2/29/2024 12:00:00 AM,0,,
1004,0,4w alignment,4 wheel alignment,OEM,BIG BRAND - 15678,0,0,,,1,4/27/2023 12:00:00 AM,0,,
1004,0,4WA - KOUROUNIS,4 WHEEL,Sublet,BIG BRAND - 15678,0,0,,,1,10/6/2023 12:00:00 AM,0,,
1004,0,4wh,4w,Sublet,BIG BRAND - 15678,0,0,,,1,2/29/2024 12:00:00 AM,0,,
1004,0,chr redo,4 wheel,Sublet,BIG BRAND - 15678,0,0,,,1,4/1/2024 12:00:00 AM,0,,
1004,0,depew,4 wheel,Sublet,BIG BRAND - 15678,0,0,,,1,3/25/2024 12:00:00 AM,0,,
1004,0,taco,4 wheel,Sublet,BIG BRAND - 15678,0,0,,,1,4/3/2024 12:00:00 AM,1,,
1004,0,,lift support,OEM,FAST UNDER CAR - 15678,0,0,,,1,2/6/2024 12:00:00 AM,1,,
1004,0,633122001181,ct atf mercon,OEM,FAST UNDER CAR - 15678,0,0,,,1,5/17/2023 12:00:00 AM,0,,
1004,0,core,core,Aftermarket,FAST UNDER CAR - 15678,0,0,,,2,10/10/2023 12:00:00 AM,1,,
1004,0,jerry parts,pads filter,Aftermarket,FAST UNDER CAR - 15678,0,0,,,1,10/10/2023 12:00:00 AM,0,,
1004,0,jims parts,injector,Aftermarket,FAST UNDER CAR - 15678,0,0,,,1,10/5/2023 12:00:00 AM,0,,
1004,0,pc5667,filter,Aftermarket,FAST UNDER CAR - 15678,0,0,,,1,3/20/2024 12:00:00 AM,0,,
1004,0,PGI PA5669,AIRFILTER PNL,OEM,FAST UNDER CAR - 15678,0,0,,,1,2/7/2024 12:00:00 AM,0,,
1004,0,pgi pa9909,airfilter,OEM,FAST UNDER CAR - 15678,0,0,,,1,2/14/2024 12:00:00 AM,0,,
1004,0,rad,tim,Aftermarket,FAST UNDER CAR - 15678,0,0,,,1,4/17/2024 12:00:00 AM,0,,
1004,0,RETURN,OIL SEAL,OEM,FAST UNDER CAR - 15678,0,0,,,1,1/29/2024 12:00:00 AM,1,,
1004,0,TIM 510003,BALL BEARING,OEM,FAST UNDER CAR - 15678,0,0,,,1,2/7/2024 12:00:00 AM,0,,
1004,0,6R3Z63424C32A,PIN LOCATING,OEM,GALPIN HONDA - 15678,0,0,,,2,4/11/2024 12:00:00 AM,0,,
1004,0,71180tbak50,garnish,OEM,GALPIN HONDA - 15678,0,0,,,1,12/29/2023 12:00:00 AM,1,,
1004,0,72950tvaa01,belt molding,OEM,GALPIN HONDA - 15678,0,0,,,1,2/14/2024 12:00:00 AM,0,,
1004,0,74117T90A00,UPPER COVER,OEM,GALPIN HONDA - 15678,0,0,,,1,4/30/2024 12:00:00 AM,0,,
