Driven Brands - MSO,,,,,,,,,,,,,,,
Abra - Parts ordered not recieved by vendor,,,,,,,,,,,,,,,
As of: Today (4/3/2024),,,,,,,,,,,,,,,
Locations: CARSTAR CITY AUTO BODY,,,,,,,,,,,,,,,
"Filters: Estimator: All, Insurance Company: All, Vendor: All, Part Type: All, Part Status: All, RO Status: Open",,,,,,,,,,,,,,,
Sorted By: PO Number (ASC),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
      RO Number,      Vehicle,      Vehicle In,      Line,      Part Number,      Part Type,      Part Description,      RO Qty,      Ordered Qty,      Backorder Qty,      Expected Delivery,      PO Number,      Vendor Name,      Required By,,
2908,"2002 FORD Super Duty F-350 w/Single Rear Wheels XL Supercab & Chassis 162"" WB 60""",4/1/2024 9:00:00 AM,5,388442S309,OEM,RT License bracket rivet,1,1,0,4/2/2024 12:00:00 AM,2908-PO-004,GALPIN MOTOR - 15678,4/2/2024 12:00:00 AM,,
2908,"2002 FORD Super Duty F-350 w/Single Rear Wheels XL Supercab & Chassis 162"" WB 60""",4/1/2024 9:00:00 AM,6,388442S309,OEM,LT License bracket rivet,1,1,0,4/2/2024 12:00:00 AM,2908-PO-004,GALPIN MOTOR - 15678,4/2/2024 12:00:00 AM,,
2908,"2002 FORD Super Duty F-350 w/Single Rear Wheels XL Supercab & Chassis 162"" WB 60""",4/1/2024 9:00:00 AM,12,3C3Z3D746AA,OEM,P/S cooler,1,1,0,4/2/2024 12:00:00 AM,2908-PO-005,GALPIN MOTOR - 15678,4/2/2024 12:00:00 AM,,
2908,"2002 FORD Super Duty F-350 w/Single Rear Wheels XL Supercab & Chassis 162"" WB 60""",4/1/2024 9:00:00 AM,13,,Aftermarket,Power Steering Fluid,2,2,0,4/2/2024 12:00:00 AM,2908-PO-005,GALPIN MOTOR - 15678,4/2/2024 12:00:00 AM,,
2938,"2007 FORD Ranger XLT Supercab 126"" WB",4/1/2024 11:00:00 AM,5,N808842S,OEM,Insulator retainer,10,10,0,4/2/2024 12:00:00 AM,2938-PO-001,GALPIN MOTOR - 15678,4/2/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,8,FL3Z17A385A,OEM,License bracket w/o engine heater,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,9,FL3Z17E810AA,OEM,Trim panel w/o engine heater,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,10,FL3Z17626AA,OEM,Air deflector,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,11,HL3Z17626AA,OEM,Valance panel w/o tow hooks,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,12,FL3Z17C829B,OEM,Step pad,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,13,FL3Z17B984A,OEM,RT Mount plate,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,14,FL3Z17B985B,OEM,LT Mount plate,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,15,FL3Z17754B,OEM,RT Side bracket,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,16,FL3Z17755B,OEM,LT Side bracket,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,17,FL3Z17754A,OEM,RT Upper bracket,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,18,FL3Z17755A,OEM,LT Upper bracket,1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,30,FL3Z16612C,OEM,Hood (ALU),1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,41,FL3Z16720A,OEM,"RT Nameplate ""F-150 XL""",1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
2866,"2016 FORD F-150 XL Regular Cab 141"" WB",3/25/2024 10:00:00 AM,42,FL3Z16720B,OEM,"LT Nameplate ""F-150 XL""",1,1,0,3/19/2024 12:00:00 AM,2866-PO-002,GALPIN MOTOR - 15678,3/19/2024 12:00:00 AM,,
